Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
A-n32-k5 , 32, 100,5 ,784 , MCD, 1502.950659, 5, 0.031067
A-n33-k5 , 33, 100,5 ,661 , MCD, 1513.538426, 5, 0.032860
A-n33-k6 , 33, 100,6 ,742 , MCD, 1337.360474, 6, 0.032540
A-n34-k5 , 34, 100,5 ,778 , MCD, 1703.995375, 6, 0.033688
A-n36-k5 , 36, 100,5 ,799 , MCD, 1730.046415, 5, 0.035097
A-n37-k5 , 37, 100,5 ,669 , MCD, 1752.936041, 5, 0.036317
A-n37-k6 , 37, 100,6 ,949 , MCD, 1747.087095, 7, 0.037042
A-n38-k5 , 38, 100,5 ,730 , MCD, 1935.610543, 6, 0.036951
A-n39-k5 , 39, 100,5 ,822 , MCD, 1864.818546, 6, 0.038821
A-n39-k6 , 39, 100,6 ,831 , MCD, 1818.043317, 7, 0.044552
A-n44-k6 , 44, 100,6 ,937 , MCD, 2252.684156, 7, 0.043263
A-n45-k6 , 45, 100,6 ,944 , MCD, 2251.689980, 7, 0.045615
A-n45-k7 , 45, 100,7 ,1146, MCD, 2047.983349, 7, 0.045555
A-n46-k7 , 46, 100,7 ,914 , MCD, 1944.290037, 7, 0.046619
A-n48-k7 , 48, 100,7 ,1073, MCD, 2175.900695, 7, 0.048122
A-n53-k7 , 53, 100,7 ,1010, MCD, 2453.044290, 8, 0.052435
A-n54-k7 , 54, 100,7 ,1167, MCD, 2498.305713, 7, 0.054058
A-n55-k9 , 55, 100,9 ,1073, MCD, 2471.943181, 10, 0.087733
A-n60-k9 , 60, 100,9 ,1354, MCD, 2857.454251, 10, 0.065820
A-n61-k9 , 61, 100,9 ,1034, MCD, 2563.353470, 10, 0.064089
A-n62-k8 , 62, 100,8 ,1288, MCD, 2841.169414, 8, 0.062759
A-n63-k9 , 63, 100,9 ,1616, MCD, 3584.174248, 10, 0.096433
A-n63-k10, 63, 100,10,1314, MCD, 3021.837811, 11, 0.068212
A-n64-k9 , 64, 100,9 ,1401, MCD, 2980.845728, 10, 0.067952
A-n65-k9 , 65, 100,9 ,1174, MCD, 2946.567781, 10, 0.073723
A-n69-k9 , 69, 100,9 ,1159, MCD, 3164.368602, 10, 0.072494
A-n80-k10, 80, 100,10,1763, MCD, 3892.268818, 11, 0.084269
