Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
P-n16-k8, 16, 35,   8 , 450, MCD,655.143702, 10, 0.019082
P-n19-k2, 19, 160,  2 , 212, MCD, 402.331778, 2, 0.017493
P-n20-k2, 20, 160,  2 , 216, MCD, 429.230877, 2, 0.018067
P-n21-k2, 21, 160,  2 , 211, MCD, 442.458268, 2, 0.017936
P-n22-k2, 22, 160,  2 , 216, MCD, 438.687605, 2, 0.018744
P-n22-k8, 22, 3000, 8 , 603, MCD, 901.404392, 9, 0.024955
P-n23-k8, 23, 40,   8 , 529, MCD, 716.876380, 10, 0.025407
P-n40-k5, 40, 140,  5 , 458, MCD, 1176.742354, 5, 0.038374
P-n45-k5, 45, 150,  5 , 510, MCD, 1652.092434, 6, 0.043314
P-n50-k7, 50, 150,  7 , 554, MCD, 1536.361133, 7, 0.050443
P-n50-k8, 50, 120,  8 , 631, MCD, 1688.640772, 9, 0.052207
P-n50-k10, 50, 100, 10, 696, MCD, 1595.080636, 11, 0.052180
P-n51-k10, 51, 80,  10, 741, MCD, 1823.962501, 11, 0.053860
P-n55-k7, 55, 170,  7 , 568, MCD, 1619.684868, 7, 0.053634
P-n55-k10, 55, 115, 10, 694, MCD, 1674.530236, 10, 0.064275
P-n55-k15, 55, 70,  15, 989, MCD, 1750.429405, 17, 0.061629
P-n60-k10, 60, 120, 10, 744, MCD, 1900.915168, 11, 0.110889
P-n60-k15, 60, 80,  15, 968, MCD, 2128.147965, 17, 0.067334
P-n65-k10, 65, 130, 10, 792, MCD, 2229.063421, 10, 0.065364
P-n70-k10, 70, 135, 10, 827, MCD, 2464.078759, 11, 0.072365
P-n76-k4, 76, 350,  4 , 593, MCD, 2641.835685, 5, 0.073745
P-n76-k5, 76, 280,  5 , 627, MCD, 2602.143043, 6, 0.074330
P-n101-k4, 101, 400,4 , 400, MCD, 3424.899234, 4, 0.128859
