Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
X-n101-k25,  101, 206, 25, 27591 , MCD, 54881.093817, 30, 0.119270
X-n106-k14,  106, 600, 14, 26362 , MCD, 36100.291995, 15, 0.194302
X-n110-k13,  110, 66,  13, 14971 , MCD, 58426.177463, 13, 0.118109
X-n115-k10,  115, 169, 10, 12747 , MCD, 55391.649443, 12, 0.123282
X-n120-k6,  120,  21,  6,  13332 , MCD, 38154.828051, 6, 0.132847
X-n125-k30,  125, 188, 30, 55539 , MCD, 82198.891449, 37, 0.206942
X-n129-k18,  129, 39,  18, 28940 , MCD, 56677.548858, 19, 0.146468
X-n134-k13,  134, 643, 13, 10916 , MCD, 24290.721476, 14, 0.149581
X-n139-k10,  139, 106, 10, 13590 , MCD, 69112.353239, 11, 0.148873
X-n143-k7,  143,  1190,7,  15700 , MCD,  52800.211528, 7, 0.168658
X-n148-k46,  148, 18,  46, 43448 , MCD, 80893.752194, 56, 0.213069
X-n153-k22,  153, 144, 22, 21220 , MCD, 57093.938621, 28, 0.178908
X-n157-k13,  157, 12,  13, 16876 , MCD, 33224.174897, 13, 0.283885
X-n162-k11,  162, 1174,11, 14138 , MCD,  77323.692486, 11, 0.174547
X-n167-k10,  167, 133, 10, 20557 , MCD, 64695.928316, 10, 0.184540
X-n172-k51,  172, 161, 51, 45607 , MCD, 94545.081184, 64, 0.224893
X-n176-k26,  176, 142, 26, 47812 , MCD, 101055.835395, 35, 0.228908
X-n181-k23,  181, 8,   23, 25569 , MCD, 65410.820276, 23, 0.321177
X-n186-k15,  186, 974, 15, 24145 , MCD, 72006.501868, 15, 0.203595
X-n190-k8,  190,  138, 8,  16980 , MCD, 29507.026725, 8, 0.202156
X-n195-k51,  195, 181, 51, 44225 , MCD, 102632.338399, 62, 0.397854
X-n200-k36,  200, 402, 36, 58578 , MCD, 96990.652167, 39, 0.255966
X-n204-k19,  204, 836, 19, 19565 , MCD, 85991.669678, 19, 0.235674
X-n209-k16,  209, 101, 16, 30656 , MCD, 90365.623959, 16, 0.241495
X-n214-k11,  214, 944, 11, 10856 , MCD, 36632.593789, 12, 0.236181
X-n219-k73,  219, 3,   73, 117595, MCD, 160116.070723, 73, 0.293194
X-n223-k34,  223, 37,  34, 40437 , MCD, 98466.783108, 37, 0.270388
X-n228-k23,  228, 154, 23, 25742 , MCD, 97122.044594, 28, 0.272761
X-n233-k16,  233, 631, 16, 19230 , MCD, 107429.901664, 17, 0.264682
X-n237-k14,  237, 18,  14, 27042 , MCD, 97290.066415, 14, 0.264199
X-n242-k48,  242, 28,  48, 82751 , MCD, 149131.772005, 53, 0.320493
X-n247-k50,  247, 134, 47, 37274 , MCD, 75325.404783, 64, 0.310717
X-n251-k28,  251, 69,  28, 38684 , MCD, 94033.894866, 29, 0.299724
