Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
P-n16-k8, 16, 35,   8 , 450, Savings, 478.753492, 9, 0.111787
P-n19-k2, 19, 160,  2 , 212, Savings, 377.813278, 6, 0.128700
P-n20-k2, 20, 160,  2 , 216, Savings, 363.050519, 5, 0.136061
P-n21-k2, 21, 160,  2 , 211, Savings, 363.946566, 5, 0.150039
P-n22-k2, 22, 160,  2 , 216, Savings, 369.662017, 5, 0.170897
P-n22-k8, 22, 3000, 8 , 603, Savings, 641.223724, 9, 0.175808
P-n23-k8, 23, 40,   8 , 529, Savings, 547.220254, 9, 0.186032
P-n40-k5, 40, 140,  5 , 458, Savings, 766.501807, 11, 0.645890
P-n45-k5, 45, 150,  5 , 510, Savings, 853.719559, 12, 0.804995
P-n50-k7, 50, 150,  7 , 554, Savings, 794.091526, 11, 1.038625
P-n50-k8, 50, 120,  8 , 631, Savings, 802.871617, 11, 1.037916
P-n50-k10, 50, 100, 10, 696, Savings, 833.717870, 12, 1.046730
P-n51-k10, 51, 80,  10, 741, Savings, 955.171493, 13, 1.147152
P-n55-k7, 55, 170,  7 , 568, Savings, 945.298302, 14, 1.397552
P-n55-k10, 55, 115, 10, 694, Savings, 967.080087, 15, 1.383625
P-n55-k15, 55, 70,  15, 989, Savings, 1099.574007, 19, 1.795061
P-n60-k10, 60, 120, 10, 744, Savings, 1134.926369, 17, 2.278106
P-n60-k15, 60, 80,  15, 968, Savings, 1156.721198, 18, 1.840581
P-n65-k10, 65, 130, 10, 792, Savings, 1321.534194, 20, 2.223660
P-n70-k10, 70, 135, 10, 827, Savings, 1394.726546, 21, 2.783499
P-n76-k4, 76, 350,  4 , 593, Savings, 1479.021253, 22, 3.473585
P-n76-k5, 76, 280,  5 , 627, Savings, 1479.021253, 22, 4.223220
P-n101-k4, 101, 400,4 , 400, Savings,  1587.176930, 20, 6.689338
