Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
A-n32-k5 , 32, 100,5 ,784 , VMC, 1249.400155, 5, 0.056456
A-n33-k5 , 33, 100,5 ,661 , VMC, 1027.925890, 5, 0.059967
A-n33-k6 , 33, 100,6 ,742 , VMC, 1079.222986, 6, 0.060095
A-n34-k5 , 34, 100,5 ,778 , VMC, 1136.445337, 6, 0.062640
A-n36-k5 , 36, 100,5 ,799 , VMC, 952.725838, 5, 0.067412
A-n37-k5 , 37, 100,5 ,669 , VMC, 1197.662139, 5, 0.071013
A-n37-k6 , 37, 100,6 ,949 , VMC, 1306.816268, 7, 0.072076
A-n38-k5 , 38, 100,5 ,730 , VMC, 1210.208002, 6, 0.075179
A-n39-k5 , 39, 100,5 ,822 , VMC, 1561.194375, 6, 0.077878
A-n39-k6 , 39, 100,6 ,831 , VMC, 1278.379411, 6, 0.077091
A-n44-k6 , 44, 100,6 ,937 , VMC, 1492.077913, 7, 0.094718
A-n45-k6 , 45, 100,6 ,944 , VMC, 1607.841542, 7, 0.097861
A-n45-k7 , 45, 100,7 ,1146, VMC, 1486.194614, 7, 0.096579
A-n46-k7 , 46, 100,7 ,914 , VMC, 1387.973163, 7, 0.101338
A-n48-k7 , 48, 100,7 ,1073, VMC, 1416.629378, 7, 0.109045
A-n53-k7 , 53, 100,7 ,1010, VMC, 1716.510801, 8, 0.131192
A-n54-k7 , 54, 100,7 ,1167, VMC, 1981.288623, 8, 0.144298
A-n55-k9 , 55, 100,9 ,1073, VMC, 1627.802905, 10, 0.141880
A-n60-k9 , 60, 100,9 ,1354, VMC, 2010.717466, 10, 0.159539
A-n61-k9 , 61, 100,9 ,1034, VMC, 1642.380231, 11, 0.173468
A-n62-k8 , 62, 100,8 ,1288, VMC, 1682.013039, 8, 0.171659
A-n63-k9 , 63, 100,9 ,1616, VMC, 2215.363034, 10, 0.171561
A-n63-k10, 63, 100,10,1314, VMC, 1810.861282, 11, 0.172527
A-n64-k9 , 64, 100,9 ,1401, VMC, 1913.391170, 10, 0.190820
A-n65-k9 , 65, 100,9 ,1174, VMC, 1614.000490, 10, 0.190072
A-n69-k9 , 69, 100,9 ,1159, VMC, 2112.677240, 10, 0.204842
A-n80-k10, 80, 100,10,1763, VMC, 2575.672075, 11, 0.264161
