Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
B-n31-k5 , 31, 100,	5, 672,  VMC, 772.834435, 5, 0.054833
B-n34-k5 , 34, 100,	5, 788,  VMC, 987.324370, 6, 0.063673
B-n35-k5 , 35, 100,	5, 955,  VMC, 1016.317447, 5, 0.108275
B-n38-k6 , 38, 100,	6, 805,  VMC, 916.308923, 6, 0.077812
B-n39-k5 , 39, 100,	5, 549,  VMC, 709.117665, 5, 0.077326
B-n41-k6 , 41, 100,	6, 829,  VMC, 1419.102019, 7, 0.090170
B-n43-k6 , 43, 100,	6, 742,  VMC, 961.184382, 6, 0.091452
B-n44-k7 , 44, 100,	7, 909,  VMC, 1214.277526, 8, 0.094979
B-n45-k5 , 45, 100,	5, 751,  VMC, 1108.097809, 6, 0.097873
B-n45-k6 , 45, 100,	6, 678,  VMC, 960.481774, 7, 0.104609
B-n50-k7 , 50, 100,	7, 741,  VMC, 977.161918, 8, 0.194516
B-n50-k8 , 50, 100,	8, 1312, VMC, 1909.747124, 10, 0.198607
B-n51-k7 , 51, 100,	7, 1032, VMC, 1494.037146, 8, 0.126798
B-n52-k7 , 52, 100,	7, 747,  VMC, 897.683623, 7, 0.126841
B-n56-k7 , 56, 100,	7, 707,  VMC, 976.738058, 7, 0.143550
B-n57-k7 , 57, 100,	7, 1153, VMC, 1540.400735, 8, 0.148385
B-n57-k9 , 57, 100,	9, 1598, VMC, 1801.376438, 9, 0.150976
B-n63-k10, 63, 100,	10,1496, VMC, 1905.043844, 11, 0.177941
B-n64-k9 , 64, 100,	9, 861,  VMC, 1188.431442, 10, 0.182025
B-n66-k9 , 66, 100,	9, 1316, VMC, 1658.513951, 10, 0.196158
B-n67-k10, 67, 100,	10,1032, VMC, 1211.427923, 10, 0.196916
B-n68-k9 , 68, 100,	9, 1272, VMC, 1622.030937, 10, 0.205979
B-n78-k10, 78, 100,	10,1221, VMC, 1491.933871, 10, 0.247341
