Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
P-n16-k8, 16, 35,   8 , 450, VMC, 515.192257, 9, 0.025279
P-n19-k2, 19, 160,  2 , 212, VMC,  362.807141, 3, 0.025438
P-n20-k2, 20, 160,  2 , 216, VMC,  362.357770, 3, 0.027101
P-n21-k2, 21, 160,  2 , 211, VMC,  340.267093, 2, 0.034847
P-n22-k2, 22, 160,  2 , 216, VMC,  348.499498, 2, 0.030561
P-n22-k8, 22, 3000, 8 , 603, VMC,  723.342162, 10, 0.036996
P-n23-k8, 23, 40,   8 , 529, VMC, 608.654632, 10, 0.039447
P-n40-k5, 40, 140,  5 , 458, VMC,  798.967460, 5, 0.079704
P-n45-k5, 45, 150,  5 , 510, VMC,  1033.589549, 5, 0.097098
P-n50-k7, 50, 150,  7 , 554, VMC,  920.339190, 7, 0.114913
P-n50-k8, 50, 120,  8 , 631, VMC,  870.761192, 9, 0.118896
P-n50-k10, 50, 100, 10, 696, VMC,  959.926887, 11, 0.119731
P-n51-k10, 51, 80,  10, 741, VMC, 1043.420718, 11, 0.124617
P-n55-k7, 55, 170,  7 , 568, VMC,  965.647726, 7, 0.135572
P-n55-k10, 55, 115, 10, 694, VMC,  1026.803021, 10, 0.139600
P-n55-k15, 55, 70,  15, 989, VMC, 1169.906545, 19, 0.150659
P-n60-k10, 60, 120, 10, 744, VMC,  1243.606780, 11, 0.159276
P-n60-k15, 60, 80,  15, 968, VMC, 1167.295984, 17, 0.174874
P-n65-k10, 65, 130, 10, 792, VMC,  1235.970101, 11, 0.180879
P-n70-k10, 70, 135, 10, 827, VMC,  1390.327655, 11, 0.251209
P-n76-k4, 76, 350,  4 , 593, VMC,  1598.972370, 5, 0.230323
P-n76-k5, 76, 280,  5 , 627, VMC,  1368.920278, 6, 0.230210
P-n101-k4, 101, 400,4 , 400, VMC,  2303.332347, 4, 0.399419
