Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
X-n101-k25,  101, 206, 25, 27591 , VMC, 34184.179463, 30, 0.403768
X-n106-k14,  106, 600, 14, 26362 , VMC, 33093.417648, 15, 0.424568
X-n110-k13,  110, 66,  13, 14971 , VMC, 24065.300723, 14, 0.456182
X-n115-k10,  115, 169, 10, 12747 , VMC, 25165.337787, 12, 0.627499
X-n120-k6,   120,  21,  6,  13332 , VMC, 22096.019202, 6, 0.525357
X-n125-k30,  125, 188, 30, 55539 , VMC, 67826.794581, 36, 0.591316
X-n129-k18,  129, 39,  18, 28940 , VMC, 37279.730584, 20, 0.624188
X-n134-k13,  134, 643, 13, 10916 , VMC, 15689.121873, 14, 0.664154
X-n139-k10,  139, 106, 10, 13590 , VMC, 32580.064204, 11, 0.683477
X-n143-k7,  143,  1190,7,  15700 , VMC,  32772.365164, 7, 0.754061
X-n148-k46,  148, 18,  46, 43448 , VMC, 53063.640303, 56, 0.827022
X-n153-k22,  153, 144, 22, 21220 , VMC, 30904.410829, 29, 0.860153
X-n157-k13,  157, 12,  13, 16876 , VMC, 23636.860008, 15, 0.915005
X-n162-k11,  162, 1174,11, 14138 , VMC,  27763.474864, 11, 0.962643
X-n167-k10,  167, 133, 10, 20557 , VMC, 37367.855670, 10, 1.014925
X-n172-k51,  172, 161, 51, 45607 , VMC, 55910.549178, 63, 1.123226
X-n176-k26,  176, 142, 26, 47812 , VMC, 69139.068728, 35, 1.099895
X-n181-k23,  181, 8,   23, 25569 , VMC, 33224.451469, 26, 1.156519
X-n186-k15,  186, 974, 15, 24145 , VMC, 39298.415326, 15, 1.183354
X-n190-k8,  190,  138, 8,  16980 , VMC, 25007.843847, 8, 1.431405
X-n195-k51,  195, 181, 51, 44225 , VMC, 57270.366443, 62, 1.453852
X-n200-k36,  200, 402, 36, 58578 , VMC, 69721.568074, 40, 1.441633
X-n204-k19,  204, 836, 19, 19565 , VMC, 34334.557686, 20, 1.471577
X-n209-k16,  209, 101, 16, 30656 , VMC, 47468.565323, 17, 1.515305
X-n214-k11,  214, 944, 11, 10856 , VMC, 21252.094240, 12, 1.582533
X-n219-k73,  219, 3,   73, 117595, VMC, 173387.526000, 109, 1.698254
X-n223-k34,  223, 37,  34, 40437 , VMC, 51252.175247, 38, 1.819534
X-n228-k23,  228, 154, 23, 25742 , VMC, 41951.628515, 30, 1.799774
X-n233-k16,  233, 631, 16, 19230 , VMC, 37224.143678, 17, 1.870022
X-n237-k14,  237, 18,  14, 27042 , VMC, 44689.992301, 14, 1.859055
X-n242-k48,  242, 28,  48, 82751 , VMC, 97301.871963, 54, 2.017008
X-n247-k50,  247, 134, 47, 37274 , VMC, 49711.440782, 61, 2.068136
X-n251-k28,  251, 69,  28, 38684 , VMC, 48407.434406, 29, 2.088865
