Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
A-n32-k5 , 32, 100,5 ,784 , Savings,1380.039352, 9, 0.687678
A-n33-k5 , 33, 100,5 ,661 , Savings,1067.978108, 9, 0.555940
A-n33-k6 , 33, 100,6 ,742 , Savings,1105.245470, 9, 0.413808
A-n34-k5 , 34, 100,5 ,778 , Savings,1097.210269, 9, 0.446931
A-n36-k5 , 36, 100,5 ,799 , Savings,1431.550235, 10, 0.542169
A-n37-k5 , 37, 100,5 ,669 , Savings,971.264409,  7, 0.515215
A-n37-k6 , 37, 100,6 ,949 , Savings,1122.180658, 7, 0.604745
A-n38-k5 , 38, 100,5 ,730 , Savings,1119.246153, 10, 0.577774
A-n39-k5 , 39, 100,5 ,822 , Savings,1223.865579, 8, 0.645984
A-n39-k6 , 39, 100,6 ,831 , Savings,1286.349252, 10, 0.630629
A-n44-k6 , 44, 100,6 ,937 , Savings,1422.865919, 10, 1.127473
A-n45-k6 , 45, 100,6 ,944 , Savings,1445.766762, 11, 0.863685
A-n45-k7 , 45, 100,7 ,1146, Savings ,1546.747460, 10, 1.459535
A-n46-k7 , 46, 100,7 ,914 , Savings,1426.015738, 12, 0.983411
A-n48-k7 , 48, 100,7 ,1073, Savings ,1829.987396, 11, 1.199298
A-n53-k7 , 53, 100,7 ,1010, Savings ,1584.173080, 12, 1.382321
A-n54-k7 , 54, 100,7 ,1167, Savings ,1950.047373, 13, 1.531498
A-n55-k9 , 55, 100,9 ,1073, Savings ,1617.226436, 14, 1.439051
A-n60-k9 , 60, 100,9 ,1354, Savings ,2139.417474, 14, 2.020914
A-n61-k9 , 61, 100,9 ,1034, Savings ,1595.348882, 15, 1.944662
A-n62-k8 , 62, 100,8 ,1288, Savings ,2186.126667, 15, 2.134535
A-n63-k9 , 63, 100,9 ,1616, Savings ,2646.782956, 15, 2.190079
A-n63-k10, 63, 100,10,1314, Savings ,1979.377516, 16, 2.252661
A-n64-k9 , 64, 100,9 ,1401, Savings ,2492.867155, 17, 2.406525
A-n65-k9 , 65, 100,9 ,1174, Savings ,1971.570459, 16, 2.357329
A-n69-k9 , 69, 100,9 ,1159, Savings ,1987.366100, 19, 2.651285
A-n80-k10, 80, 100,10,1763, Savings ,3144.789711, 18, 6.988463
P-n16-k8, 16, 35,   8 , 450, Savings, 478.753492, 9, 0.111787
P-n19-k2, 19, 160,  2 , 212, Savings, 377.813278, 6, 0.128700
P-n20-k2, 20, 160,  2 , 216, Savings, 363.050519, 5, 0.136061
P-n21-k2, 21, 160,  2 , 211, Savings, 363.946566, 5, 0.150039
P-n22-k2, 22, 160,  2 , 216, Savings, 369.662017, 5, 0.170897
P-n22-k8, 22, 3000, 8 , 603, Savings, 641.223724, 9, 0.175808
P-n23-k8, 23, 40,   8 , 529, Savings, 547.220254, 9, 0.186032
P-n40-k5, 40, 140,  5 , 458, Savings, 766.501807, 11, 0.645890
P-n45-k5, 45, 150,  5 , 510, Savings, 853.719559, 12, 0.804995
P-n50-k7, 50, 150,  7 , 554, Savings, 794.091526, 11, 1.038625
P-n50-k8, 50, 120,  8 , 631, Savings, 802.871617, 11, 1.037916
P-n50-k10, 50, 100, 10, 696, Savings, 833.717870, 12, 1.046730
P-n51-k10, 51, 80,  10, 741, Savings, 955.171493, 13, 1.147152
P-n55-k7, 55, 170,  7 , 568, Savings, 945.298302, 14, 1.397552
P-n55-k10, 55, 115, 10, 694, Savings, 967.080087, 15, 1.383625
P-n55-k15, 55, 70,  15, 989, Savings, 1099.574007, 19, 1.795061
P-n60-k10, 60, 120, 10, 744, Savings, 1134.926369, 17, 2.278106
P-n60-k15, 60, 80,  15, 968, Savings, 1156.721198, 18, 1.840581
P-n65-k10, 65, 130, 10, 792, Savings, 1321.534194, 20, 2.223660
P-n70-k10, 70, 135, 10, 827, Savings, 1394.726546, 21, 2.783499
