Instancia,n,capacidad-camión,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
A-n32-k5 , 32, 100,5 ,784 , MCD, 1502.950659, 5, 0.031067
A-n33-k5 , 33, 100,5 ,661 , MCD, 1513.538426, 5, 0.032860
A-n33-k6 , 33, 100,6 ,742 , MCD, 1337.360474, 6, 0.032540
A-n34-k5 , 34, 100,5 ,778 , MCD, 1703.995375, 6, 0.033688
A-n36-k5 , 36, 100,5 ,799 , MCD, 1730.046415, 5, 0.035097
A-n37-k5 , 37, 100,5 ,669 , MCD, 1752.936041, 5, 0.036317
A-n37-k6 , 37, 100,6 ,949 , MCD, 1747.087095, 7, 0.037042
A-n38-k5 , 38, 100,5 ,730 , MCD, 1935.610543, 6, 0.036951
A-n39-k5 , 39, 100,5 ,822 , MCD, 1864.818546, 6, 0.038821
A-n39-k6 , 39, 100,6 ,831 , MCD, 1818.043317, 7, 0.044552
A-n44-k6 , 44, 100,6 ,937 , MCD, 2252.684156, 7, 0.043263
A-n45-k6 , 45, 100,6 ,944 , MCD, 2251.689980, 7, 0.045615
A-n45-k7 , 45, 100,7 ,1146, MCD, 2047.983349, 7, 0.045555
A-n46-k7 , 46, 100,7 ,914 , MCD, 1944.290037, 7, 0.046619
A-n48-k7 , 48, 100,7 ,1073, MCD, 2175.900695, 7, 0.048122
A-n53-k7 , 53, 100,7 ,1010, MCD, 2453.044290, 8, 0.052435
A-n54-k7 , 54, 100,7 ,1167, MCD, 2498.305713, 7, 0.054058
A-n55-k9 , 55, 100,9 ,1073, MCD, 2471.943181, 10, 0.087733
A-n60-k9 , 60, 100,9 ,1354, MCD, 2857.454251, 10, 0.065820
A-n61-k9 , 61, 100,9 ,1034, MCD, 2563.353470, 10, 0.064089
A-n62-k8 , 62, 100,8 ,1288, MCD, 2841.169414, 8, 0.062759
A-n63-k9 , 63, 100,9 ,1616, MCD, 3584.174248, 10, 0.096433
A-n63-k10, 63, 100,10,1314, MCD, 3021.837811, 11, 0.068212
A-n64-k9 , 64, 100,9 ,1401, MCD, 2980.845728, 10, 0.067952
A-n65-k9 , 65, 100,9 ,1174, MCD, 2946.567781, 10, 0.073723
A-n69-k9 , 69, 100,9 ,1159, MCD, 3164.368602, 10, 0.072494
A-n80-k10, 80, 100,10,1763, MCD, 3892.268818, 11, 0.084269
P-n16-k8, 16, 35,   8 , 450, MCD,655.143702, 10, 0.019082
P-n19-k2, 19, 160,  2 , 212, MCD, 402.331778, 2, 0.017493
P-n20-k2, 20, 160,  2 , 216, MCD, 429.230877, 2, 0.018067
P-n21-k2, 21, 160,  2 , 211, MCD, 442.458268, 2, 0.017936
P-n22-k2, 22, 160,  2 , 216, MCD, 438.687605, 2, 0.018744
P-n22-k8, 22, 3000, 8 , 603, MCD, 901.404392, 9, 0.024955
P-n23-k8, 23, 40,   8 , 529, MCD, 716.876380, 10, 0.025407
P-n40-k5, 40, 140,  5 , 458, MCD, 1176.742354, 5, 0.038374
P-n45-k5, 45, 150,  5 , 510, MCD, 1652.092434, 6, 0.043314
P-n50-k7, 50, 150,  7 , 554, MCD, 1536.361133, 7, 0.050443
P-n50-k8, 50, 120,  8 , 631, MCD, 1688.640772, 9, 0.052207
P-n50-k10, 50, 100, 10, 696, MCD, 1595.080636, 11, 0.052180
P-n51-k10, 51, 80,  10, 741, MCD, 1823.962501, 11, 0.053860
P-n55-k7, 55, 170,  7 , 568, MCD, 1619.684868, 7, 0.053634
P-n55-k10, 55, 115, 10, 694, MCD, 1674.530236, 10, 0.064275
P-n55-k15, 55, 70,  15, 989, MCD, 1750.429405, 17, 0.061629
P-n60-k10, 60, 120, 10, 744, MCD, 1900.915168, 11, 0.110889
P-n60-k15, 60, 80,  15, 968, MCD, 2128.147965, 17, 0.067334
P-n65-k10, 65, 130, 10, 792, MCD, 2229.063421, 10, 0.065364
P-n70-k10, 70, 135, 10, 827, MCD, 2464.078759, 11, 0.072365
P-n76-k4, 76, 350,  4 , 593, MCD, 2641.835685, 5, 0.073745
P-n76-k5, 76, 280,  5 , 627, MCD, 2602.143043, 6, 0.074330
P-n101-k4, 101, 400,4 , 400, MCD, 3424.899234, 4, 0.128859
X-n101-k25,  101, 206, 25, 27591 , MCD, 54881.093817, 30, 0.119270
X-n106-k14,  106, 600, 14, 26362 , MCD, 36100.291995, 15, 0.194302
X-n110-k13,  110, 66,  13, 14971 , MCD, 58426.177463, 13, 0.118109
X-n115-k10,  115, 169, 10, 12747 , MCD, 55391.649443, 12, 0.123282
X-n120-k6,  120,  21,  6,  13332 , MCD, 38154.828051, 6, 0.132847
X-n125-k30,  125, 188, 30, 55539 , MCD, 82198.891449, 37, 0.206942
X-n129-k18,  129, 39,  18, 28940 , MCD, 56677.548858, 19, 0.146468
X-n134-k13,  134, 643, 13, 10916 , MCD, 24290.721476, 14, 0.149581
X-n139-k10,  139, 106, 10, 13590 , MCD, 69112.353239, 11, 0.148873
X-n143-k7,  143,  1190,7,  15700 , MCD,  52800.211528, 7, 0.168658
X-n148-k46,  148, 18,  46, 43448 , MCD, 80893.752194, 56, 0.213069
X-n153-k22,  153, 144, 22, 21220 , MCD, 57093.938621, 28, 0.178908
X-n157-k13,  157, 12,  13, 16876 , MCD, 33224.174897, 13, 0.283885
X-n162-k11,  162, 1174,11, 14138 , MCD,  77323.692486, 11, 0.174547
