Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
A-n32-k5,32,100,5,784,SWEEP,1098.65,5,76
A-n36-k5,36,100,5,799,SWEEP,985.325,5,70
A-n38-k5,38,100,5,730,SWEEP,905.044,6,82
A-n55-k9,55,100,9,1073,SWEEP,1295.53,10,183
A-n65-k9,65,100,9,1174,SWEEP,1349.15,10,153
A-n69-k9,69,100,9,1159,SWEEP,1367.23,9,149
A-n80-k10,80,100,10,1763,SWEEP,2439.75,11,186
B-n31-k5,31,100,5,672,SWEEP,713.485,5,78
B-n34-k5,34,100,5,788,SWEEP,942.51,6,86
B-n35-k5,35,100,5,955,SWEEP,1123.1,5,87
B-n44-k7,44,100,7,909,SWEEP,1233.27,8,93
B-n45-k5,45,100,5,751,SWEEP,837.149,6,108
B-n45-k6,45,100,6,678,SWEEP,810.718,7,97
B-n50-k7,50,100,7,741,SWEEP,886.231,7,139
B-n63-k10,63,100,10,1496,SWEEP,1779.81,11,134
B-n67-k10,67,100,10,1032,SWEEP,1204.88,10,145
B-n78-k10,78,100,10,1221,SWEEP,1478.27,11,179
E-n22-k4,22,6000,4,375,SWEEP,481.504,4,58
E-n23-k3,23,4500,3,569,SWEEP,697.365,3,102
E-n30-k3,30,4500,3,534,SWEEP,584.812,3,84
E-n51-k5,51,160,5,521,SWEEP,688.249,6,122
E-n101-k8,101,200,8,817,SWEEP,1055.59,8,228
E-n101-k14,101,112,14,1071,SWEEP,1277.52,15,224
M-n101-k10,101,200,10,820,SWEEP,1098.58,10,210
M-n121-k7,121,200,7,1034,SWEEP,1426.19,8,250
M-n151-k12,151,200,12,1053,SWEEP,1285.96,12,325
M-n200-k16,200,200,16,1274,SWEEP,1557.89,17,433
M-n200-k17,200,200,17,1373,SWEEP,1557.89,17,421
P-n16-k8,16,35,8,450,SWEEP,556.957,10,49
P-n20-k2,20,160,2,216,SWEEP,305.4,3,46
P-n22-k2,22,160,2,216,SWEEP,254.961,2,64
P-n23-k8,23,40,8,529,SWEEP,660.12,10,53
P-n40-k5,40,140,5,458,SWEEP,541.377,5,97
P-n50-k7,50,150,7,554,SWEEP,665.178,7,125
P-n60-k10,60,120,10,744,SWEEP,896.108,11,142
P-n60-k15,60,80,15,968,SWEEP,1199.96,17,139
P-n76-k4,76,350,4,593,SWEEP,796.958,5,180
P-n76-k5,76,280,5,627,SWEEP,811.861,5,161
P-n101-k4,101,400,4,681,SWEEP,949.05,4,211
X-n153-k22,153,144,22,21220,SWEEP,29902.2,30,318
X-n167-k10,167,133,10,20557,SWEEP,25285.7,10,334
X-n176-k26,176,142,26,47812,SWEEP,69232,34,344
X-n186-k15,186,974,15,24145,SWEEP,29251,15,355
F-n135-k7,135,2210,7,1162,SWEEP,1642.86,8,489.509
F-n45-k4,45,2010,4,724,SWEEP,809.162,4,145.002
X-n513-k21,513,142,21,24201,SWEEP,31461.8,21,2110.03
X-n548-k50,548,11,50,86701,SWEEP,109727,50,1805.1
X-n613-k62,613,523,62,59556,SWEEP,75190.6,66,2371.05
X-n655-k131,655,5,131,106780,SWEEP,125556,131,2503.14
X-n716-k35,716,1007,35,43414,SWEEP,54836.8,36,2813.57
X-n749-k98,749,396,98,77365,SWEEP,105400,106,2223.04
X-n819-k171,819,358,171,158265,SWEEP,194845,188,3105.59
X-n856-k95,856,9,95,89002,SWEEP,103908,95,2462.05
X-n916-k207,916,33,207,329247,SWEEP,453515,231,2507.06
X-n957-k87,957,11,87,85478,SWEEP,113454,87,2354.54
X-n1001-k43,1001,131,43,72402,SWEEP,92308.3,44,3743.1
