Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
P-n23-k8,23,40,8,529,CRSA,645,11,864
P-n22-k8,22,3000,8,603,CRSA,700,10,1729.8
A-n32-k5,32,100,5,784,CRSA,905,5,46.8
A-n36-k5,36,100,5,799,CRSA,947,5,15.6
A-n38-k5,38,100,5,730,CRSA,834,6,109.2
A-n55-k9,55,100,9,1073,CRSA,1240,10,656.2
A-n65-k9,65,100,9,1174,CRSA,1489,9,556.4
A-n69-k9,69,100,9,1159,CRSA,1432,10,593.8
A-n80-k10,80,100,10,1763,CRSA,2250,10,693.4
B-n31-k5,31,100,5,672,CRSA,696,5,15.6
B-n34-k5,34,100,5,788,CRSA,833,5,109.2
B-n35-k5,35,100,5,955,CRSA,1013,5,15.6
B-n44-k7,44,100,7,909,CRSA,1011,7,189.2
B-n45-k5,45,100,5,751,CRSA,854,5,93.6
B-n45-k6,45,100,6,678,CRSA,774,7,245.8
B-n50-k7,50,100,7,741,CRSA,787,7,235
B-n52-k7,52,100,7,747,CRSA,795,7,250.6
B-n63-k10,63,100,10,1496,CRSA,1633,10,592.8
B-n67-k10,67,100,10,1032,CRSA,1220,10,265.2
B-n78-k10,78,100,10,1221,CRSA,1418,10,693
E-n22-k4,22,6000,4,375,CRSA,480,4,31.2
E-n23-k3,23,4500,3,569,CRSA,762,3,15.6
E-n30-k3,30,4500,3,534,CRSA,610,4,109.2
E-n51-k5,51,160,5,521,CRSA,714,5,109.2
E-n76-k14,76,100,14,1021,CRSA,1230,16,968.2
E-n101-k8,101,200,8,815,CRSA,1072,8,124.8
E-n101-k14,101,112,14,1067,CRSA,1316,14,3590
F-n45-k4,45,2010,4,724,CRSA,805,4,31.2
F-n135-k7,135,2210,7,1162,CRSA,1414,8,2402.4
M-n101-k10,101,200,10,820,CRSA,860,10,1872
M-n121-k7,121,200,7,1034,CRSA,1203,8,872.8
M-n200-k16,200,200,16,1274,CRSA,1685,17,13418.2
M-n151-k12,151,200,12,1015,CRSA,1372,12,2171.4
M-n200-k17,200,200,17,1275,CRSA,1685,17,13168.4
P-n16-k8,16,35,8,450,CRSA,507,9,646.6
P-n20-k2,20,160,2,216,CRSA,272,2,11
P-n40-k5,40,140,5,458,CRSA,568,5,15.6
P-n45-k5,45,150,5,510,CRSA,619,5,46.8
P-n50-k7,50,150,7,554,CRSA,676,7,157
P-n60-k10,60,120,10,744,CRSA,903,11,826.8
P-n60-k15,60,80,15,968,CRSA,1113,17,3935.4
P-n65-k10,65,130,10,792,CRSA,981,11,924.4
P-n76-k4,76,350,4,593,CRSA,833,4,156
P-n76-k5,76,280,5,627,CRSA,867,5,179.6
P-n101-k4,101,400,4,681,CRSA,985,4,62.4
X-n106-k14,106,600,14,26362,CRSA,30086,15,16834
X-n186-k15,186,974,15,24145,CRSA,30254,16,8761.4
X-n176-k26,176,142,26,47812,CRSA,57177,30,96685
p-n23-k8,23,40,8,529,CRSA,645,11,907.3
p-n22-k8,22,3000,8,603,CRSA,700,10,1694.8
M-n101-k10,101,200,10,820,CRSA,860,10,1546.4
X-n167-k10,167,133,10,20557,CRSA,25340,10,977
X-n209-k16,209,101,16,30656,CRSA,39121,17,13991.8
X-n251-k28,251,69,28,38684,CRSA,50963,35,269213
M-n200-k17,200,200,17,1275,CRSA,1685,17,13016
X-n251-k28,251,69,28,38684,CRSA,50963,35,276080
X-n209-k16,209,101,16,30656,CRSA,39121,17,15250.4
Li_21,561,1200,,16212,CRSA,21892,11,43891.8
Li_21,561,1200,,16212,CRSA,21892,11,43035.2
p-n23-k8,23,40,8,529,CRSA,1418,9,549.8
P-n23-k8,23,40,8,529,CRSA,1418,9,546
P-n23-k8,23,40,8,529,CRSA,1418,9,564.8
P-n23-k8,23,40,8,529,CRSA,1418,9,546
P-n23-k8,23,40,8,529,CRSA,1418,9,584.7
P-n20-k2,20,160,2,216,CRSA,448,2,0
P-n20-k2,20,160,2,216,CRSA,448,2,0
P-n20-k2,20,160,2,216,CRSA,448,2,0
P-n20-k2,20,160,2,216,CRSA,448,2,0
P-n22-k8,22,3000,8,603,CRSA,4962,9,1263.6
M-n200-k17,200,200,17,1275,CRSA,1651,18,16159.8
P-n23-k8,23,40,8,529,CRSA,561,9,670.8
P-n23-k8,23,40,8,529,CRSA,613,10,1216.8
P-n22-k8,22,3000,8,603,CRSA,671,10,1934.4
