Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
M-n101-k10,101,200,10,820,CRSA,860.759,10,7187.9
F-n135-k7,135,2210,7,1162,CRSA,1417.4,7,20361.4
M-n151-k12,151,200,12,1015,CRSA,1271.91,12,3396.5
M-n121-k7,121,200,7,1034,CRSA,1175.16,7,5375.2
P-n20-k2,20,160,2,216,CRSA,284.515,2,49.3
P-n50-k7,50,150,7,554,CRSA,652.746,7,2752.5
P-n23-k8,23,40,8,529,CRSA,562.803,9,192898
P-n40-k5,40,140,5,458,CRSA,520.762,5,109.2
P-n45-k5,45,150,5,510,CRSA,596.031,5,1380.3
B-n50-k7,50,100,7,741,CRSA,791.597,7,5477
B-n67-k10,67,100,10,1032,CRSA,1158.35,10,9695.2
A-n32-k5,32,100,5,784,CRSA,905.395,5,78
A-n55-k9,55,100,9,1073,CRSA,1212.44,9,8982
A-n65-k9,65,100,9,1174,CRSA,1364.14,9,4315.6
P-n60-k15,60,80,15,968,CRSA,1062.19,16,287001
B-n78-k10,78,100,10,1221,CRSA,1318.99,10,1964.1
B-n52-k7,52,100,7,747,CRSA,793.603,7,1796.5
B-n31-k5,31,100,5,672,CRSA,680.028,5,109.2
B-n44-k7,44,100,7,909,CRSA,1011.19,7,1095.2
B-n45-k5,45,100,5,751,CRSA,822.429,5,390
B-n45-k6,45,100,6,678,CRSA,780.475,7,2496
E-n101-k8,101,200,8,815,CRSA,1033.21,8,3427.1
E-n101-k14,101,112,14,1067,CRSA,1262.54,14,65888.6
P-n101-k4,101,400,4,681,CRSA,889.118,4,296.4
P-n76-k5,76,280,5,627,CRSA,778.386,5,2654.5
B-n35-k5,35,100,5,955,CRSA,1013.92,5,93.6
B-n34-k5,34,100,5,788,CRSA,832.346,5,249.6
A-n65-k9,65,100,9,4.1331e-038,CRSA,1360.28,9,14810.8
A-n80-k10,80,100,10,1763,CRSA,2031.14,10,3636.8
P-n60-k15,60,80,15,968,CRSA,1048.41,16,106273
P-n20-k2,20,160,2,216,CRSA,284.515,2,78
P-n23-k8,23,40,8,529,CRSA,547.9,9,77434
F-n135-k7,135,2210,7,1162,CRSA,1417.4,7,9878.8
P-n23-k8,23,40,8,529,CRSA,546.198,9,137970
P-n23-k8,23,40,8,529,CRSA,548.65,9,155773
P-n23-k8,23,40,8,529,CRSA,548.65,9,61208
